dataset,threshold,roc_auc,pr_auc,precision,recall,f1
Train RandomForest,0.5,0.9228792536000553,0.9020627942734399,0.8398328690807799,0.7380660954712362,0.7856677524429967
Validation RandomForest,0.5,0.7967391655624859,0.731096255123281,0.732776617954071,0.5501567398119123,0.6284691136974038
OOT RandomForest,0.5,0.76007866273353,0.6853556854636071,0.717391304347826,0.48672566371681414,0.5799648506151143
Train CatBoost,0.5,0.9831978343748261,0.9759438501320397,0.9483344663494222,0.8537331701346389,0.8985507246376812
Validation CatBoost,0.5,0.7953527453705199,0.7367042677446237,0.7690355329949239,0.47492163009404387,0.5872093023255814
OOT CatBoost,0.5,0.7370936848147959,0.6588885508516497,0.7189189189189189,0.39233038348082594,0.5076335877862596
Validation CatBoost Tuned Threshold,0.25,0.7953527453705199,0.7367042677446237,0.6039603960396039,0.7648902821316614,0.6749654218533887
OOT CatBoost Tuned Threshold,0.25,0.7370936848147959,0.6588885508516497,0.5672823218997362,0.6342182890855457,0.5988857938718662
