threshold,precision,recall,f1
0.1,0.46200607902735563,0.9529780564263323,0.6223132036847492
0.15,0.5030674846625767,0.8996865203761756,0.6453063518830804
0.2,0.5581395348837209,0.8275862068965517,0.6666666666666666
0.25,0.6039603960396039,0.7648902821316614,0.6749654218533887
0.3,0.6388489208633094,0.6959247648902821,0.6661665416354089
0.35,0.6677740863787376,0.6300940438871473,0.6483870967741936
0.4,0.7058823529411765,0.5830721003134797,0.6386266094420601
0.45,0.7296703296703296,0.5203761755485894,0.6075022872827082
0.5,0.7690355329949239,0.47492163009404387,0.5872093023255814
0.55,0.7942857142857143,0.43573667711598746,0.562753036437247
0.6,0.810126582278481,0.4012539184952978,0.5366876310272537
0.65,0.8411552346570397,0.3652037617554859,0.5092896174863388
0.7,0.8495934959349594,0.3275862068965517,0.47285067873303166
0.75,0.863849765258216,0.2884012539184953,0.43243243243243246
0.8,0.884393063583815,0.23981191222570533,0.37731196054254007
0.85,0.9130434782608695,0.1974921630094044,0.3247422680412371
0.9,0.9428571428571428,0.15517241379310345,0.26648721399730824
